Titles,Authors,Dates,Tags,Url
你真的了解數據新聞嗎？﹣﹣八大誤區，你中了幾槍？,Xingchen Zhou,2016-03-16,lang-Chinese|datajournalism,http://initiumlab.com/blog/20160316-eight-myths-about-data-journalism/
Google Sheets 技巧總結,Chao Tianyi,2016-02-03,GoogleSheets,http://initiumlab.com/blog/20160203-google-sheets/
香港科研經費競爭本已激烈 評審制度再被批,張軒婷,2016-02-02,RGCFund,http://initiumlab.com/blog/20160202-hk-rgc/
除了折線和地圖，還可以怎樣呈現全球變暖？,Chao Tianyi,2016-01-28,lang:Chinese|data,http://initiumlab.com/blog/20160128-global-warming/
關係圖表速成方案：Google Fusion Tables & Kumu,Chao Tianyi,2015-12-01,lang-Chinese|NetworkGraph|Tool|InvestigativeJouranlism,http://initiumlab.com/blog/20151201-quick-network-graph/
Jackathon #7 Data Hacking,Initium Lab,2015-11-30,lang-English|Jackathon|data,http://initiumlab.com/blog/20151130-Jackathon-7/
The First PyCon in Hong Kong - PyCon HK 2015,Initium Lab,2015-11-19,lang-English|Python,http://initiumlab.com/blog/20151119-The-First-PyCon-in-Hong-Kong-PyCon-HK-2015/
Hong Kong Code Conf 2015,Andy Shu Xin,2015-11-12,lang-English|hkcodeconf,http://initiumlab.com/blog/20151112-Hong-Kong-Code-Conf-2015/
哪國大學裏女生比例最高？聯合國超全數據集告訴你,Frank Lin,2015-11-06,lang:Chinese|data,http://initiumlab.com/blog/20151106-gender-parity-in-education-and-un-mdg/
Initium Lab at BarCamp Hong Kong 2015,Initium Lab,2015-11-05,lang-English|Barcamp,http://initiumlab.com/blog/20151105-barcamp-hk-2015/
Jackathon #5 -- Read a journalism book in 8 hours,Initium Lab,2015-10-25,Jackathon|lang:English|journalism,http://initiumlab.com/blog/20151025-jackathon-no-5/
Infographic for the Blind: We Tried 3D Printing That Almost Worked,"Andy Shu,Chao Tianyi",2015-10-15,香港立法會|Accessibility|lang:English|Legco,http://initiumlab.com/blog/20151015-3d-infographic-user-testing/
在Facebook找新聞線索？FB Signal搶鮮試用,Andy Shu,2015-10-15,Tools|Signal,http://initiumlab.com/blog/20151015-Facebook-Signal-Review/
一張圖讀懂喬布斯數據化妝術,Andy Shu,2015-10-12,Visualization|lang:Chinese,http://initiumlab.com/blog/20151012-visualization-via-jobs/
數據新聞人，今夜我們談色,Andy Shu,2015-10-12,Accessibility|lang:Chinese|Design,http://initiumlab.com/blog/20151012-what-is-colour/
Jackathon #5: Read Journalism,Initium Lab,2015-10-05,Jackathon|Journalism,http://initiumlab.com/blog/20151005-read-journalism/
小工具有大作用-輕鬆截屏剪裁,Initium Lab,2015-10-01,lang-Chinese|香港立法會|datajournalism|tricks,http://initiumlab.com/blog/20151001-capture-tricks/
整日做表沒思路？Google幫你開腦洞,Chao Tianyi,2015-09-30,Tools,http://initiumlab.com/blog/20150930-google-sheets-explore/
Hacker News 簡介,Initium Lab,2015-09-28,lang-Chinese|hacker-news,http://initiumlab.com/blog/20150928-hacker-news-intro/
React in One Hour,Initium Lab,2015-09-25,lang-English|JavaScript|React,http://initiumlab.com/blog/20150925-react-in-1-hour-cuhk/
Jackathon #3 -- Read a data science book in 8 hours,Initium Lab,2015-09-22,lang-English|Jackathon|Data-Science,http://initiumlab.com/blog/20150922-jackathon3-review/
Legco Matrix Brief (English),Initium Lab,2015-09-16,香港立法會|lang-English,http://initiumlab.com/blog/20150916-legco-eng/
冥王星到底有多大？,Initium Lab,2015-09-05,lang-Chinese|DataVisualization,http://initiumlab.com/blog/20150905-pluto-size-visualization/
可視化火了 盲人怎麼辦,Andy Shu,2015-09-01,lang-Chinese|author-Andy|Accessibility,http://initiumlab.com/blog/20150901-data-journalism-for-the-blind/
一張圖看懂香港立法會點票機制,Andy Shu,2015-08-21,lang-Chinese|香港立法會|one-pic,http://initiumlab.com/blog/20150821-legco-vote-procedure/
直擊烏雲峯會：無線通訊成黑色產業新戰場,VV,2015-07-30,lang-Chinese|Tech|Security|WooyunCommunity,http://initiumlab.com/blog/20150730-wooyun-summit/
